time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,updated,place
2014-08-02T17:35:04.090Z,28.061,128.0676,32.22,4.9,mb,58,1.233,1.19,us,2014-09-04T16:17:10.054Z,"143km WSW of Naze, Japan"
2014-08-02T17:29:41.830Z,27.8333,128.1109,53.43,4.4,mb,123,5.677,1.09,us,2014-09-03T22:04:44.988Z,"138km N of Nago, Japan"
2014-08-02T16:09:56.580Z,33.2997,131.6528,94.87,4.7,mb,56,0.673,0.82,us,2014-09-05T15:59:15.088Z,"7km NNE of Oita-shi, Japan"
2014-08-02T14:18:32.180Z,28.0287,128.0523,56.92,4.8,mb,106,1.204,1.27,us,2014-09-05T15:54:11.918Z,"145km WSW of Naze, Japan"
2014-08-02T02:14:38.080Z,25.8552,142.5432,48.27,4.1,mb,162,1.276,1.09,us,2014-09-03T04:52:19.394Z,"139km SSE of Chichi-shima, Japan"
2014-08-01T11:08:09.590Z,41.9288,139.6661,180.97,4.1,mb,99,2.604,0.65,us,2014-09-09T13:26:19.887Z,"82km W of Kamiiso, Japan"
2014-08-01T08:34:16.170Z,35.8607,141.8165,39.48,4.4,mb,127,2.995,1.05,us,2014-08-30T05:46:09.942Z,"89km E of Hasaki, Japan"
2014-08-01T06:01:22.510Z,30.8371,140.2557,58.15,4.6,mb,103,2.302,1.08,us,2014-08-21T10:48:54.841Z,"252km S of Hachijo-jima, Japan"
2014-07-31T23:29:58.670Z,23.9604,122.5827,38.78,4.4,mb,96,0.638,0.87,us,2014-08-31T03:17:55.704Z,"70km SW of Yonakuni, Japan"
2014-07-31T15:57:25.860Z,41.595,142.2265,68.75,4.4,mb,130,0.812,0.61,us,2014-09-01T17:36:23.135Z,"82km S of Shizunai, Japan"
2014-07-31T03:08:36.400Z,26.9416,143.8324,35,4.5,mb,71,1.478,0.85,us,2014-09-07T15:17:42.697Z,"161km E of Chichi-shima, Japan"
2014-07-30T17:31:17.390Z,28.0808,127.7134,47.62,4.6,mb,128,5.719,0.46,us,2014-09-04T14:14:38.669Z,"167km N of Nago, Japan"
2014-07-30T14:57:06.800Z,37.1403,141.1509,49.32,4.5,mb,128,2.434,0.54,us,2014-08-28T16:02:21.217Z,"25km ENE of Iwaki, Japan"
2014-07-30T01:31:58.720Z,28.0228,127.879,65.49,4.5,mb,82,5.624,0.75,us,2014-09-01T21:35:15.164Z,"159km N of Nago, Japan"
2014-07-29T20:05:16.440Z,35.6281,140.186,69.36,4.8,mb,98,1.842,0.78,us,2014-08-30T20:44:57.539Z,"2km SE of Yotsukaido, Japan"
2014-07-28T19:09:40.330Z,37.1235,142.1712,20.13,4.3,mb,180,3.231,0.54,us,2014-09-03T23:22:17.422Z,"111km ESE of Namie, Japan"
2014-07-28T19:01:37.060Z,36.9904,142.4847,32.65,4.6,mb,120,3.462,1.07,us,2014-09-03T22:54:29.565Z,"142km E of Iwaki, Japan"
2014-07-28T15:05:54.080Z,28.0182,127.9258,52.54,4.8,mb,100,5.654,0.67,us,2014-09-03T16:42:39.498Z,"157km WSW of Naze, Japan"
2014-07-28T14:36:12.480Z,37.0207,142.6297,10,4.5,mb,110,3.58,0.92,us,2014-09-02T17:30:29.148Z,"153km ESE of Namie, Japan"
2014-07-28T12:37:04.290Z,28.0991,127.9529,61.66,4.5,mb,106,5.607,0.85,us,2014-09-10T07:56:58.000Z,"153km W of Naze, Japan"
2014-07-28T08:05:29.740Z,34.8195,139.4211,9.05,4.4,mb,109,1.722,1.1,us,2014-08-29T13:26:52.679Z,"34km ESE of Ito, Japan"
2014-07-28T06:15:38.080Z,34.6631,139.0243,35,4.5,mb,108,1.677,1.07,us,2014-09-08T08:14:07.318Z,"6km E of Shimoda, Japan"
2014-07-28T05:28:58.290Z,34.7564,139.2677,35,4.4,mb,190,1.688,1.06,us,2014-09-04T12:03:05.978Z,"28km SE of Ito, Japan"
2014-07-28T04:36:48.490Z,36.1424,141.9807,17.48,4.5,mb,147,3.071,0.63,us,2014-08-22T03:52:00.226Z,"113km ENE of Hasaki, Japan"
2014-07-28T01:07:39.150Z,35.2168,139.4225,139.32,4.2,mb,119,1.648,0.86,us,2014-08-23T22:47:05.539Z,"12km S of Chigasaki, Japan"
2014-07-27T18:09:10.320Z,35.4823,140.6271,58.01,4.7,mb,122,2.227,0.68,us,2014-08-25T19:33:51.356Z,"23km SE of Naruto, Japan"
2014-07-27T09:24:15.930Z,39.6127,142.2151,50.63,4.5,mb,123,2.504,1.46,us,2014-08-13T08:09:10.000Z,"22km E of Miyako, Japan"
2014-07-27T07:38:35.250Z,28.0584,127.8925,77.94,4.1,mb,146,5.655,0.9,us,2014-09-04T11:31:52.548Z,"159km WSW of Naze, Japan"
2014-07-27T05:58:14.890Z,33.1248,140.5182,59.87,4.6,mb,154,0.591,0.93,us,2014-09-04T10:31:36.682Z,"67km E of Hachijo-jima, Japan"
2014-07-27T03:41:00.030Z,40.1684,143.1398,53.19,4.3,mb,136,1.844,0.76,us,2014-08-30T04:37:35.032Z,"117km ENE of Miyako, Japan"
2014-07-26T21:55:54.340Z,25.1583,127.0057,24.86,4.5,mb,133,3.694,1.11,us,2014-08-22T00:50:17.285Z,"126km SSW of Itoman, Japan"
2014-07-26T20:38:31.090Z,36.9831,142.5678,21.64,4.6,mb,110,3.527,0.67,us,2014-08-23T22:20:11.942Z,"149km ESE of Namie, Japan"
2014-07-26T14:12:19.950Z,27.8585,128.2734,60.43,4.8,mb,125,1.018,1.16,us,2014-08-23T16:06:03.000Z,"131km WSW of Naze, Japan"
2014-07-25T17:05:44.770Z,28.8286,143.6107,23.86,5,mb,41,2.138,0.62,us,2014-08-27T20:30:52.000Z,"237km NE of Chichi-shima, Japan"
2014-07-25T04:18:16.240Z,41.5694,142.1922,64.06,5.1,mb,113,0.847,0.92,us,2014-09-09T21:17:59.185Z,"86km S of Shizunai, Japan"
2014-07-24T16:51:15.250Z,42.3094,144.8043,45.26,4.5,mb,107,1.259,0.93,us,2014-08-27T19:02:28.105Z,"81km SSE of Kushiro, Japan"
2014-07-24T08:56:40.960Z,38.7059,141.9661,35,4.4,mb,121,3.428,1.32,us,2014-09-04T11:52:43.785Z,"46km SSE of Ofunato, Japan"
2014-07-23T15:52:38.020Z,36.9219,142.4645,24.93,4.2,mb,135,3.439,0.92,us,2014-09-01T15:11:26.677Z,"141km E of Iwaki, Japan"
